Verb	me-	me-i	me-kan	di-	di-kan	di-i	ber-	ter-	-an	pe-an	pe-
Tukar	menukar	menukari	menukarkan	ditukar	ditukarkan	ditukari	bertukar	tertukar	tukaran	penukaran/pertukaran	penukar
Tumbuh	-	menumbuhi	menumbuhkan	-	ditumbuhkan	ditumbuhi	bertumbuh	-	tumbuhan	penumbuhan/pertumbuhan	penumbuh
Tumpah	-	menumpahi	menumpahkan	-	ditumpahkan	ditumpahi	-	tertumpah	tumpahan	penumpahan/pertumpahan	-
Tunda	menunda	-	-	ditunda	-	-	-	tertunda	-	penundaan	penunda
Tunjang	menunjang	-	-	ditunjang	-	-	-	tertunjang	tunjangan	-	penunjang
Turun	menurun	menuruni	menurunkan	-	diturunkan	-	-	-	turunan	penurunan	penurun
Tusuk	menusuk	-	menusukkan	ditusuk	ditusukkan	-	-	tertusuk	tusukan	penusukan	penusuk
Ulur	mengulur	-	mengulurkan	diulur	diulurkan	-	-	terulur	uluran	penguluran	-
Umbar	mengumbar	-	-	diumbar	-	-	-	-	-	pengumbaran	-
Undang	mengundang	-	-	diundang	-	-	-	-	undangan	-	pengundang
Ungkap	mengungkap	mengungkapi	mengungkapkan	diungkap	diungkapkan	diungkapi	-	terungkap	ungkapan	pengungkapan	-
Ungkit	mengungkit	-	-	diungkit	-	-	-	-	-	-	pengungkit
Usap	mengusap	-	mengusapkan	diusap	diusapkan	-	-	-	usapan	-	-
